warehouse_id,product_id,stock_level,capacity,stockout_events,cogs_yearly
WH-01,PROD-0001,104,214,0,27321.685443203278
WH-01,PROD-0002,0,925,2,33302.428105094776
WH-01,PROD-0003,375,512,0,38078.19697117486
WH-01,PROD-0004,248,376,0,29658.73474616393
WH-01,PROD-0005,456,968,0,30583.412768748123
WH-01,PROD-0006,688,838,0,37924.14898848381
WH-01,PROD-0007,95,647,0,20336.159311385803
WH-01,PROD-0008,0,289,1,15736.858690565308
WH-01,PROD-0009,524,794,0,38295.89422013186
WH-01,PROD-0010,0,966,2,45614.8808005805
WH-01,PROD-0011,83,161,0,42190.58597484837
WH-01,PROD-0012,396,441,0,45298.54528232902
WH-01,PROD-0013,0,276,4,48134.36735974393
WH-01,PROD-0014,8,175,0,19369.11369156867
WH-01,PROD-0015,734,817,0,47777.321612190026
WH-01,PROD-0016,505,950,0,33432.67454764097
WH-01,PROD-0017,68,984,0,18194.484726412906
WH-01,PROD-0018,51,124,0,35263.33052346673
WH-01,PROD-0019,564,583,0,40621.056967663186
WH-01,PROD-0020,0,668,1,46891.80975592817
WH-01,PROD-0021,222,285,0,7514.201960480752
WH-01,PROD-0022,214,262,0,29566.2096574245
WH-01,PROD-0023,657,942,0,48589.33747883607
WH-01,PROD-0024,73,108,0,42663.374340681825
WH-01,PROD-0025,229,352,0,8784.806275174884
WH-01,PROD-0026,167,752,0,8274.335286388708
WH-01,PROD-0027,0,894,2,8660.695128885489
WH-01,PROD-0028,0,264,4,43841.233489505175
WH-01,PROD-0029,144,441,0,47626.185982273644
WH-01,PROD-0030,300,316,0,38902.01833665237
WH-01,PROD-0031,158,169,0,26675.01445838519
WH-01,PROD-0032,181,975,0,36728.796393349694
WH-01,PROD-0033,530,813,0,10003.88670377681
WH-01,PROD-0034,172,550,0,5510.914014533858
WH-01,PROD-0035,125,319,0,7533.647405682681
WH-01,PROD-0036,455,575,0,10288.68110496972
WH-01,PROD-0037,422,460,0,38572.01956694405
WH-01,PROD-0038,189,447,0,23010.03017924112
WH-01,PROD-0039,368,607,0,8730.10947620094
WH-01,PROD-0040,133,216,0,41094.91620620304
WH-01,PROD-0041,671,784,0,30020.226738916306
WH-01,PROD-0042,0,914,4,28746.549908883495
WH-01,PROD-0043,251,302,0,8320.84541309295
WH-01,PROD-0044,146,326,0,48618.61410285945
WH-01,PROD-0045,0,501,1,14756.409796392105
WH-01,PROD-0046,158,242,0,49812.41187632168
WH-01,PROD-0047,258,665,0,45552.11047209451
WH-01,PROD-0048,73,111,0,47768.51678344514
WH-01,PROD-0049,407,457,0,32905.96690106916
WH-01,PROD-0050,91,107,0,34108.17627509257
WH-01,PROD-0051,697,747,0,15322.763556722735
WH-01,PROD-0052,40,639,0,16697.74382844182
WH-01,PROD-0053,144,601,0,17589.357822602557
WH-01,PROD-0054,460,823,0,35812.90276492457
WH-01,PROD-0055,546,657,0,42014.1759315426
WH-01,PROD-0056,255,693,0,31152.317953137182
WH-01,PROD-0057,9,549,0,46972.7817509306
WH-01,PROD-0058,250,341,0,7034.840154778523
WH-01,PROD-0059,32,218,0,39992.10276808515
WH-01,PROD-0060,223,245,0,49337.8722799477
WH-01,PROD-0061,852,878,0,38731.02349892324
WH-01,PROD-0062,314,316,0,42895.35154110689
WH-01,PROD-0063,104,560,0,23666.87760519493
WH-01,PROD-0064,404,484,0,7536.89734929172
WH-01,PROD-0065,475,617,0,41580.54541085349
WH-01,PROD-0066,644,962,0,49848.657668325744
WH-01,PROD-0067,22,536,0,39604.433683122974
WH-01,PROD-0068,0,776,2,22003.27471741039
WH-01,PROD-0069,77,184,0,14227.039782793621
WH-01,PROD-0070,50,100,0,17362.930866165894
WH-01,PROD-0071,445,871,0,44519.93003656365
WH-01,PROD-0072,33,587,0,21117.322311477823
WH-01,PROD-0073,38,171,0,35220.79380167599
WH-01,PROD-0074,437,773,0,39754.32762810377
WH-01,PROD-0075,305,990,0,43348.1675143343
WH-01,PROD-0076,132,153,0,8978.370051454096
WH-01,PROD-0077,824,862,0,31548.015371193622
WH-01,PROD-0078,302,866,0,23924.11003992838
WH-01,PROD-0079,65,328,0,41227.010038371285
WH-01,PROD-0080,165,202,0,32776.867044378145
WH-01,PROD-0081,805,837,0,32363.953229384835
WH-01,PROD-0082,797,949,0,29966.702384400156
