shipment_id,order_id,warehouse_id,shipping_cost,delivery_time_days,order_status
SHIP-000001,ORD-000001,WH-05,38.82,28.0,Delivered
SHIP-000002,ORD-000002,WH-02,10.45,2.0,Delivered
SHIP-000003,ORD-000003,WH-02,163.55,2.0,Delivered
SHIP-000004,ORD-000004,WH-03,49.1,4.0,Delivered
SHIP-000005,ORD-000005,WH-02,25.75,4.0,Delivered
SHIP-000006,ORD-000006,WH-05,35.09,5.0,Shipped
SHIP-000007,ORD-000007,WH-05,40.14,3.0,Delivered
SHIP-000008,ORD-000008,WH-01,27.63,7.0,Cancelled
SHIP-000009,ORD-000009,WH-05,24.51,6.0,Cancelled
SHIP-000010,ORD-000010,WH-01,89.7,2.0,Cancelled
SHIP-000011,ORD-000011,WH-04,33.09,10.0,Delivered
SHIP-000012,ORD-000012,WH-05,43.77,8.0,Delivered
SHIP-000013,ORD-000013,WH-01,48.05,3.0,Delivered
SHIP-000014,ORD-000014,WH-04,49.36,8.0,Delivered
SHIP-000015,ORD-000015,WH-01,231.85,5.0,Delivered
SHIP-000016,ORD-000016,WH-02,42.46,3.0,Shipped
SHIP-000017,ORD-000017,WH-02,23.72,4.0,Delivered
SHIP-000018,ORD-000018,WH-05,6.9,10.0,Delivered
SHIP-000019,ORD-000019,WH-02,26.88,7.0,Delivered
SHIP-000020,ORD-000020,WH-03,33.53,3.0,Delivered
SHIP-000021,ORD-000021,WH-05,31.82,11.0,Cancelled
SHIP-000022,ORD-000022,WH-02,45.49,27.0,Delivered
SHIP-000023,ORD-000023,WH-01,50.64,7.0,Delivered
SHIP-000024,ORD-000024,WH-04,26.48,8.0,Shipped
SHIP-000025,ORD-000025,WH-02,14.81,3.0,Delivered
SHIP-000026,ORD-000026,WH-04,40.95,6.0,Delivered
SHIP-000027,ORD-000027,WH-02,11.01,8.0,Delivered
SHIP-000028,ORD-000028,WH-03,40.12,7.0,Shipped
SHIP-000029,ORD-000029,WH-05,30.72,3.0,Delivered
SHIP-000030,ORD-000030,WH-03,52.29,8.0,Delivered
SHIP-000031,ORD-000031,WH-01,13.64,9.0,Delivered
SHIP-000032,ORD-000032,WH-04,35.45,6.0,Delivered
SHIP-000033,ORD-000033,WH-02,19.96,2.0,Shipped
SHIP-000034,ORD-000034,WH-05,20.08,2.0,Delivered
SHIP-000035,ORD-000035,WH-04,18.65,6.0,Delivered
SHIP-000036,ORD-000036,WH-05,37.19,7.0,Delivered
SHIP-000037,ORD-000037,WH-02,21.8,12.0,Cancelled
SHIP-000038,ORD-000038,WH-02,34.64,6.0,Delivered
SHIP-000039,ORD-000039,WH-05,25.47,9.0,Delivered
SHIP-000040,ORD-000040,WH-01,29.22,6.0,Delivered
SHIP-000041,ORD-000041,WH-04,30.34,2.0,Cancelled
SHIP-000042,ORD-000042,WH-05,50.78,7.0,Delivered
SHIP-000043,ORD-000043,WH-02,25.79,2.0,Shipped
SHIP-000044,ORD-000044,WH-02,23.18,6.0,Delivered
SHIP-000045,ORD-000045,WH-01,56.77,32.0,Delivered
SHIP-000046,ORD-000046,WH-01,49.53,4.0,Shipped
SHIP-000047,ORD-000047,WH-02,44.15,3.0,Delivered
SHIP-000048,ORD-000048,WH-05,37.17,7.0,Delivered
SHIP-000049,ORD-000049,WH-04,52.11,4.0,Delivered
SHIP-000050,ORD-000050,WH-04,116.64999999999999,9.0,Delivered
SHIP-000051,ORD-000051,WH-02,15.47,7.0,Delivered
SHIP-000052,ORD-000052,WH-04,30.84,,Cancelled
SHIP-000053,ORD-000053,WH-04,48.94,12.0,Cancelled
SHIP-000054,ORD-000054,WH-03,40.74,,Shipped
SHIP-000055,ORD-000055,WH-01,25.97,7.0,Delivered
SHIP-000056,ORD-000056,WH-03,28.41,5.0,Delivered
SHIP-000057,ORD-000057,WH-05,43.26,7.0,Delivered
SHIP-000058,ORD-000058,WH-04,19.7,4.0,Delivered
SHIP-000059,ORD-000059,WH-01,50.32,6.0,Delivered
SHIP-000060,ORD-000060,WH-05,8.39,9.0,Delivered
SHIP-000061,ORD-000061,WH-03,42.96,7.0,Delivered
SHIP-000062,ORD-000062,WH-01,12.38,3.0,Delivered
SHIP-000063,ORD-000063,WH-01,15.07,5.0,Delivered
SHIP-000064,ORD-000064,WH-02,21.53,7.0,Delivered
SHIP-000065,ORD-000065,WH-02,29.04,7.0,Delivered
SHIP-000066,ORD-000066,WH-05,38.41,4.0,Shipped
SHIP-000067,ORD-000067,WH-01,26.71,,Delivered
SHIP-000068,ORD-000068,WH-03,36.53,2.0,Delivered
SHIP-000069,ORD-000069,WH-03,45.13,24.0,Delivered
SHIP-000070,ORD-000070,WH-02,9.03,9.0,Delivered
SHIP-000071,ORD-000071,WH-02,21.77,3.0,Delivered
SHIP-000072,ORD-000072,WH-02,40.22,6.0,Delivered
SHIP-000073,ORD-000073,WH-02,34.0,9.0,Shipped
SHIP-000074,ORD-000074,WH-01,41.79,11.0,Delivered
SHIP-000075,ORD-000075,WH-02,36.68,8.0,Shipped
SHIP-000076,ORD-000076,WH-03,25.67,7.0,Delivered
SHIP-000077,ORD-000077,WH-02,53.21,6.0,Cancelled
SHIP-000078,ORD-000078,WH-04,17.24,9.0,Delivered
SHIP-000079,ORD-000079,WH-02,14.85,4.0,Delivered
