product_id,category,unit_cost,unit_price,supplier_id
PROD-0001,Office,358.22,849.73,SUP-005
PROD-0002,Apparel,64.34,859.2,SUP-007
PROD-0003,Industrial,225.27,416.42,SUP-004
PROD-0004,Office,108.84,890.01,SUP-006
PROD-0005,Electronics,448.92,853.91,SUP-004
PROD-0006,Electronics,242.93,936.92,SUP-003
PROD-0007,Home Goods,286.01,789.63,SUP-007
PROD-0008,Home Goods,350.8,675.61,SUP-008
PROD-0009,Apparel,78.27,589.07,SUP-004
PROD-0010,Office,306.16,384.84,SUP-002
PROD-0011,Office,274.52,941.33,SUP-010
PROD-0012,Home Goods,109.5,974.19,SUP-003
PROD-0013,Office,472.0,566.4,SUP-001
PROD-0014,Office,303.44,364.128,SUP-008
PROD-0015,Electronics,350.44,495.9,SUP-003
PROD-0016,Home Goods,441.43,529.716,SUP-010
PROD-0017,Industrial,315.93,994.57,SUP-007
PROD-0018,Home Goods,154.86,192.41,SUP-010
PROD-0019,Industrial,61.69,74.02799999999999,SUP-005
PROD-0020,Electronics,233.7,504.02,SUP-010
PROD-0021,Apparel,117.04,195.25,SUP-005
PROD-0022,Office,214.09,379.14,SUP-007
PROD-0023,Electronics,442.81,749.29,SUP-009
PROD-0024,Office,168.93,726.52,SUP-005
PROD-0025,Apparel,69.82,321.9,SUP-001
PROD-0026,Apparel,184.59,551.69,SUP-010
PROD-0027,Electronics,454.35,545.22,SUP-010
PROD-0028,Apparel,143.34,643.61,SUP-001
PROD-0029,Industrial,327.37,392.844,SUP-002
PROD-0030,Apparel,10.25,598.07,SUP-006
PROD-0031,Office,182.76,979.32,SUP-009
PROD-0032,Office,159.34,497.01,SUP-008
PROD-0033,Office,90.68,907.98,SUP-005
PROD-0034,Office,271.7,445.71,SUP-001
PROD-0035,Industrial,247.57,363.08,SUP-007
PROD-0036,Home Goods,349.29,652.2,SUP-005
PROD-0037,Electronics,142.01,675.55,SUP-006
PROD-0038,Office,129.62,866.88,SUP-007
PROD-0039,Apparel,92.46,245.58,SUP-003
PROD-0040,Office,117.19,509.21,SUP-010
PROD-0041,Apparel,283.47,580.56,SUP-003
PROD-0042,Apparel,207.88,773.18,SUP-005
PROD-0043,Office,41.8,62.73,SUP-006
PROD-0044,Industrial,134.42,994.66,SUP-009
PROD-0045,Apparel,130.97,480.55,SUP-005
PROD-0046,Apparel,351.19,421.428,SUP-001
PROD-0047,Office,359.01,885.82,SUP-004
PROD-0048,Apparel,82.56,752.76,SUP-005
PROD-0049,Apparel,498.89,954.01,SUP-010
PROD-0050,Office,140.72,344.14,SUP-010
PROD-0051,Office,488.54,586.248,SUP-005
PROD-0052,Electronics,211.41,580.85,SUP-007
PROD-0053,Industrial,26.19,980.72,SUP-004
PROD-0054,Industrial,179.08,214.89600000000002,SUP-001
PROD-0055,Apparel,320.83,384.996,SUP-005
PROD-0056,Industrial,343.55,412.26,SUP-007
PROD-0057,Apparel,270.16,324.192,SUP-010
PROD-0058,Electronics,229.41,495.57,SUP-010
PROD-0059,Office,280.92,385.23,SUP-006
PROD-0060,Office,300.42,406.8,SUP-005
PROD-0061,Office,49.62,847.33,SUP-004
PROD-0062,Industrial,191.13,931.42,SUP-002
PROD-0063,Electronics,128.66,154.392,SUP-004
PROD-0064,Industrial,403.54,484.248,SUP-010
PROD-0065,Industrial,240.45,677.72,SUP-010
PROD-0066,Electronics,491.88,590.256,SUP-003
PROD-0067,Electronics,205.42,269.08,SUP-010
PROD-0068,Electronics,410.05,492.06,SUP-001
PROD-0069,Electronics,401.19,481.428,SUP-008
PROD-0070,Office,83.85,851.7,SUP-005
PROD-0071,Home Goods,259.02,310.82399999999996,SUP-004
PROD-0072,Home Goods,350.95,714.73,SUP-008
PROD-0073,Electronics,430.6,561.76,SUP-007
PROD-0074,Home Goods,169.72,310.58,SUP-002
PROD-0075,Home Goods,117.92,431.39,SUP-001
PROD-0076,Electronics,358.46,430.152,SUP-004
PROD-0077,Home Goods,406.66,619.28,SUP-008
PROD-0078,Industrial,180.85,217.01999999999998,SUP-002
PROD-0079,Apparel,57.13,68.556,SUP-003
PROD-0080,Apparel,470.86,635.34,SUP-001
PROD-0081,Electronics,204.81,245.772,SUP-001
PROD-0082,Office,263.7,316.44,SUP-003
PROD-0083,Electronics,420.48,504.576,SUP-005
PROD-0084,Office,341.09,409.30799999999994,SUP-003
PROD-0085,Apparel,370.26,888.88,SUP-001
PROD-0086,Electronics,112.45,134.94,SUP-001
PROD-0087,Industrial,275.31,587.29,SUP-008
PROD-0088,Home Goods,350.93,449.7,SUP-010
PROD-0089,Office,121.99,678.59,SUP-002
PROD-0090,Home Goods,95.73,341.59,SUP-003
PROD-0091,Home Goods,491.26,589.512,SUP-002
PROD-0092,Electronics,263.15,982.2,SUP-003
PROD-0093,Home Goods,137.81,842.15,SUP-007
PROD-0094,Industrial,498.16,863.2,SUP-001
PROD-0095,Home Goods,483.06,579.672,SUP-010
PROD-0096,Electronics,283.56,340.272,SUP-008
PROD-0097,Industrial,442.49,530.9879999999999,SUP-010
PROD-0098,Apparel,102.47,546.34,SUP-010
PROD-0099,Home Goods,146.65,340.12,SUP-010
PROD-0100,Electronics,353.18,831.31,SUP-002
