order_id,customer_id,product_id,order_date,demand_qty,revenue
ORD-000001,CUST-0621,PROD-0055,2023-06-07,7,2694.97
ORD-000002,CUST-0406,PROD-0079,2023-02-05,3,205.67
ORD-000003,CUST-0101,PROD-0097,2023-05-23,17,9026.8
ORD-000004,CUST-0228,PROD-0054,2023-12-25,14,3008.54
ORD-000005,CUST-0108,PROD-0004,2023-05-19,7,6230.07
ORD-000006,CUST-0161,PROD-0097,2023-10-08,13,6902.84
ORD-000007,CUST-0314,PROD-0084,2023-07-17,5,2046.54
ORD-000008,CUST-0559,PROD-0096,2023-01-21,9,3062.45
ORD-000009,CUST-0201,PROD-0093,2023-08-26,6,5052.9
ORD-000010,CUST-0324,PROD-0090,2023-05-28,9,3074.31
ORD-000011,CUST-0301,PROD-0036,2023-02-04,1,652.2
ORD-000012,CUST-0988,PROD-0013,2023-03-31,18,10195.2
ORD-000013,CUST-0487,PROD-0016,2023-05-06,11,5826.88
ORD-000014,CUST-0045,PROD-0014,2023-01-05,2,728.26
ORD-000015,CUST-0141,PROD-0007,2023-03-02,19,15002.97
ORD-000016,CUST-0614,PROD-0015,2023-03-24,15,7438.5
ORD-000017,CUST-0242,PROD-0002,2023-01-17,14,12028.8
ORD-000018,CUST-0876,PROD-0096,2023-10-09,3,1020.82
ORD-000019,CUST-0342,PROD-0066,2023-05-21,19,11214.86
ORD-000020,CUST-0728,PROD-0035,2023-10-30,4,1452.32
ORD-000021,CUST-0636,PROD-0036,2023-11-11,2,1304.4
ORD-000022,CUST-0802,PROD-0014,2023-10-07,16,5826.05
ORD-000023,CUST-0544,PROD-0079,2023-10-23,14,959.78
ORD-000024,CUST-0207,PROD-0004,2023-02-24,3,2670.03
ORD-000025,CUST-0485,PROD-0099,2023-01-29,10,3401.2
ORD-000026,CUST-0699,PROD-0017,2023-09-02,11,10940.27
ORD-000027,CUST-0834,PROD-0037,2023-10-31,6,4053.3
ORD-000028,CUST-0777,PROD-0065,2023-10-19,2,1355.44
ORD-000029,CUST-0731,PROD-0035,2023-10-05,18,6535.44
ORD-000030,CUST-0299,PROD-0075,2023-04-19,17,7333.63
ORD-000031,CUST-0712,PROD-0008,2023-06-13,17,11485.37
ORD-000032,CUST-0044,PROD-0044,2023-07-22,16,15914.56
ORD-000033,CUST-0069,PROD-0027,2023-12-26,15,8178.3
ORD-000034,CUST-0471,PROD-0092,2023-02-16,19,18661.8
ORD-000035,CUST-0796,PROD-0025,2023-02-03,6,1931.4
ORD-000036,CUST-0768,PROD-0026,2023-10-08,8,4413.52
ORD-000037,CUST-0867,PROD-0014,2023-07-25,1,364.13
ORD-000038,CUST-0421,PROD-0086,2023-08-20,4,539.76
ORD-000039,CUST-0623,PROD-0083,2023-01-17,12,6054.91
ORD-000040,CUST-0939,PROD-0035,2023-10-21,19,6898.52
ORD-000041,CUST-0035,PROD-0097,2023-08-02,13,6902.84
ORD-000042,CUST-0979,PROD-0050,2023-07-09,5,1720.7
ORD-000043,CUST-0050,PROD-0002,2023-08-02,18,15465.6
ORD-000044,CUST-0694,PROD-0063,2023-07-25,18,2779.06
ORD-000045,CUST-0452,PROD-0036,2023-04-23,14,9130.8
ORD-000046,CUST-0715,PROD-0065,2023-07-25,1,677.72
ORD-000047,CUST-0161,PROD-0052,2023-03-15,7,4065.95
ORD-000048,CUST-0397,PROD-0004,2023-01-26,10,8900.1
ORD-000049,CUST-0139,PROD-0095,2023-12-20,17,9854.42
ORD-000050,CUST-0197,PROD-0070,2023-07-13,3,2555.1
ORD-000051,CUST-0588,PROD-0049,2023-08-14,17,16218.17
ORD-000052,CUST-0153,PROD-0049,2023-11-07,3,2862.03
ORD-000053,CUST-0839,PROD-0008,2023-05-07,2,1351.22
ORD-000054,CUST-0310,PROD-0075,2023-02-07,16,6902.24
ORD-000055,CUST-0300,PROD-0004,2023-10-18,16,14240.16
ORD-000056,CUST-0123,PROD-0093,2023-03-23,15,12632.25
ORD-000057,CUST-0212,PROD-0057,2023-05-24,16,5187.07
ORD-000058,CUST-0954,PROD-0040,2023-03-06,7,3564.47
ORD-000059,CUST-0997,PROD-0100,2023-01-02,2,1662.62
ORD-000060,CUST-0974,PROD-0045,2023-10-13,6,2883.3
ORD-000061,CUST-0248,PROD-0038,2023-05-30,2,1733.76
ORD-000062,CUST-0474,PROD-0064,2023-10-29,3,1452.74
ORD-000063,CUST-0320,PROD-0084,2023-01-29,3,1227.92
