date,product_id,sales_volume
2021-01-01,PROD-001,22
2021-01-02,PROD-001,34
2021-01-03,PROD-001,38
2021-01-04,PROD-001,28
2021-01-05,PROD-001,19
2021-01-06,PROD-001,19
2021-01-07,PROD-001,29
2021-01-08,PROD-001,25
2021-01-09,PROD-001,34
2021-01-10,PROD-001,39
2021-01-11,PROD-001,19
2021-01-12,PROD-001,20
2021-01-13,PROD-001,23
2021-01-14,PROD-001,13
2021-01-15,PROD-001,14
2021-01-16,PROD-001,35
2021-01-17,PROD-001,33
2021-01-18,PROD-001,25
2021-01-19,PROD-001,19
2021-01-20,PROD-001,16
2021-01-21,PROD-001,31
2021-01-22,PROD-001,23
2021-01-23,PROD-001,39
2021-01-24,PROD-001,32
2021-01-25,PROD-001,22
2021-01-26,PROD-001,25
2021-01-27,PROD-001,19
2021-01-28,PROD-001,27
2021-01-29,PROD-001,22
2021-01-30,PROD-001,39
2021-01-31,PROD-001,37
2021-02-01,PROD-001,35
2021-02-02,PROD-001,26
2021-02-03,PROD-001,21
2021-02-04,PROD-001,30
2021-02-05,PROD-001,20
2021-02-06,PROD-001,42
2021-02-07,PROD-001,32
2021-02-08,PROD-001,20
2021-02-09,PROD-001,28
2021-02-10,PROD-001,31
2021-02-11,PROD-001,28
2021-02-12,PROD-001,27
2021-02-13,PROD-001,41
2021-02-14,PROD-001,35
2021-02-15,PROD-001,24
2021-02-16,PROD-001,26
2021-02-17,PROD-001,33
2021-02-18,PROD-001,30
2021-02-19,PROD-001,20
2021-02-20,PROD-001,45
2021-02-21,PROD-001,42
2021-02-22,PROD-001,25
2021-02-23,PROD-001,32
2021-02-24,PROD-001,34
2021-02-25,PROD-001,34
2021-02-26,PROD-001,25
2021-02-27,PROD-001,43
2021-02-28,PROD-001,46
2021-03-01,PROD-001,35
2021-03-02,PROD-001,27
2021-03-03,PROD-001,29
2021-03-04,PROD-001,25
2021-03-05,PROD-001,24
2021-03-06,PROD-001,49
2021-03-07,PROD-001,52
2021-03-08,PROD-001,30
2021-03-09,PROD-001,36
2021-03-10,PROD-001,32
2021-03-11,PROD-001,28
2021-03-12,PROD-001,33
2021-03-13,PROD-001,54
2021-03-14,PROD-001,46
2021-03-15,PROD-001,39
2021-03-16,PROD-001,18
2021-03-17,PROD-001,35
2021-03-18,PROD-001,32
2021-03-19,PROD-001,30
2021-03-20,PROD-001,47
2021-03-21,PROD-001,37
2021-03-22,PROD-001,30
2021-03-23,PROD-001,33
2021-03-24,PROD-001,39
2021-03-25,PROD-001,29
2021-03-26,PROD-001,28
2021-03-27,PROD-001,44
2021-03-28,PROD-001,51
2021-03-29,PROD-001,34
2021-03-30,PROD-001,29
2021-03-31,PROD-001,35
2021-04-01,PROD-001,32
2021-04-02,PROD-001,37
2021-04-03,PROD-001,44
2021-04-04,PROD-001,45
2021-04-05,PROD-001,30
2021-04-06,PROD-001,25
2021-04-07,PROD-001,34
2021-04-08,PROD-001,33
2021-04-09,PROD-001,32
2021-04-10,PROD-001,46
2021-04-11,PROD-001,40
2021-04-12,PROD-001,30
2021-04-13,PROD-001,30
2021-04-14,PROD-001,28
2021-04-15,PROD-001,31
2021-04-16,PROD-001,34
2021-04-17,PROD-001,56
2021-04-18,PROD-001,48
2021-04-19,PROD-001,33
2021-04-20,PROD-001,32
2021-04-21,PROD-001,22
2021-04-22,PROD-001,32
2021-04-23,PROD-001,32
2021-04-24,PROD-001,59
2021-04-25,PROD-001,46
2021-04-26,PROD-001,33
2021-04-27,PROD-001,32
2021-04-28,PROD-001,26
2021-04-29,PROD-001,37
2021-04-30,PROD-001,35
2021-05-01,PROD-001,50
2021-05-02,PROD-001,42
2021-05-03,PROD-001,38
2021-05-04,PROD-001,24
2021-05-05,PROD-001,34
2021-05-06,PROD-001,42
2021-05-07,PROD-001,26
2021-05-08,PROD-001,43
2021-05-09,PROD-001,46
2021-05-10,PROD-001,28
2021-05-11,PROD-001,23
2021-05-12,PROD-001,31
2021-05-13,PROD-001,25
2021-05-14,PROD-001,33
