route_id,origin,destination,distance_km,current_cost,shipment_weight_kg
R000,Mumbai,Singapore,11911,4175.797893323933,4434.429221844877
R001,Mumbai,Sao Paulo,2671,2620.079162810594,1365.3005846390183
R002,Mumbai,Sao Paulo,7124,3743.0370808455136,2064.2864651720756
R003,Rotterdam,Los Angeles,8376,3813.94464776791,4523.977683031666
R004,Shanghai,New York,9240,2099.8888104868497,2665.1542732533194
R005,Mumbai,Sao Paulo,6432,3299.7047129568246,4127.905759068776
R006,Shanghai,Dubai,3276,7910.670473134299,2914.6579069429963
R007,Hamburg,Singapore,10150,4953.227400827971,3742.322276261592
R008,Hamburg,Dubai,7126,5966.575785121652,4299.983026851329
R009,Mumbai,Singapore,10172,7136.897376985701,2093.6600185690645
R010,Mumbai,Los Angeles,7750,3952.3470601800473,590.3203899997686
R011,Shanghai,Los Angeles,8229,3628.732789156445,1038.9295931866304
R012,Shanghai,Sao Paulo,8168,5914.165074439183,4051.2705737330225
R013,Rotterdam,New York,8371,4991.192521820561,3140.785031093956
R014,Shanghai,Singapore,8738,3962.022068683381,2018.5107524236314
R015,Tokyo,New York,3761,3088.2955105202545,2742.114640320231
R016,Rotterdam,Los Angeles,11504,1548.9733603714858,1513.997589706377
R017,Tokyo,Dubai,5517,3353.1185965100062,1280.1811788263967
R018,Shanghai,Dubai,10434,1618.5761292843467,3636.326580648897
R019,Hamburg,Singapore,10195,1534.4500415844352,4887.802233253141
R020,Mumbai,Los Angeles,6289,5118.958804590544,3072.2571026145492
R021,Mumbai,Sao Paulo,8469,7791.961432277522,3699.2861547653674
R022,Tokyo,Los Angeles,6208,4943.960150677258,3682.5354304
R023,Rotterdam,Dubai,8988,4961.831311585308,733.2059157009211
R024,Hamburg,New York,2260,1911.9373080729904,4954.821045754754
R025,Rotterdam,New York,3619,3155.164255964465,3566.762250007682
R026,Shanghai,Los Angeles,3994,4575.580306837299,3227.458464751274
R027,Mumbai,Los Angeles,3604,6899.02615062024,4842.621097999307
R028,Rotterdam,Dubai,7256,2832.511765346042,2206.528632337102
R029,Shanghai,Singapore,7951,6579.844131384197,4225.733992298714
R030,Rotterdam,Singapore,8941,6863.362398503182,1338.8224405466485
R031,Mumbai,Dubai,2077,4899.925260999275,2114.737178555761
R032,Rotterdam,New York,4136,5939.38341221136,2533.768705845677
R033,Mumbai,Sao Paulo,8565,5008.576902445115,2474.3510392475255
R034,Shanghai,Los Angeles,4192,7347.234726284695,2227.5104961794514
R035,Rotterdam,Dubai,3970,4304.932930386877,1997.6710366061793
R036,Mumbai,New York,7567,2583.7499399569906,4453.831019180472
R037,Shanghai,Singapore,10669,7310.301789831225,4048.6874505103883
R038,Shanghai,Los Angeles,2950,2430.3319060650524,1420.4506692625846
R039,Hamburg,New York,6612,7198.976638951372,2039.3678692215835
R040,Rotterdam,Singapore,8359,5425.726168471331,2760.2975635813855
R041,Rotterdam,Sao Paulo,4371,6194.641694554931,3740.1644144573347
R042,Mumbai,Dubai,2793,3136.693882895193,2055.6319707676375
R043,Mumbai,New York,8166,4503.037723686863,4762.775028253169
R044,Tokyo,New York,9783,4788.276412749029,3251.5440594559154
R045,Tokyo,Dubai,5531,2164.3823174637973,4634.377350173359
