warehouse,zone,utilization_pct,pick_frequency_daily,sku_count
WH-Alpha,Zone A,75.25877043207907,473,1085
WH-Alpha,Zone B,77.10984014936949,413,138
WH-Alpha,Zone C,50.49387195898967,53,1472
WH-Alpha,Zone D,73.0075863802352,446,821
WH-Alpha,Zone E,63.81092714211757,475,1231
WH-Beta,Zone A,45.142365858986196,360,838
WH-Beta,Zone B,86.55642680356044,463,350
WH-Beta,Zone C,86.85560872447296,190,1397
WH-Beta,Zone D,91.03940040333825,276,1162
WH-Beta,Zone E,30.616553185852375,78,1057
WH-Gamma,Zone A,35.75532168988518,367,344
WH-Gamma,Zone B,61.18578624567281,321,1362
WH-Gamma,Zone C,55.88867995841631,463,1020
WH-Gamma,Zone D,51.864080148847435,389,488
WH-Gamma,Zone E,77.59766746700194,226,102
